dfda
American Airlines Inc.,1,24.5161290322581,77.1054995737407,31
Delta Air Lines Inc.,1,-21.5,26.3637147334258,35
JetBlue Airways,1,10.15625,42.9659350250945,32
Virgin America,1,-13.04,46.2875793275043,25
American Airlines Inc.,2,10.375,53.4397771571766,24
Delta Air Lines Inc.,2,-26.1363636363636,22.0330821710606,22
JetBlue Airways,2,-0.55,36.9145171842646,20
Virgin America,2,-13.45,22.8207546348771,20
American Airlines Inc.,3,52.8095238095238,247.99488281971,22
Delta Air Lines Inc.,3,-15.5909090909091,21.4468536729174,22
JetBlue Airways,3,17.0833333333333,43.3047006853676,24
Virgin America,3,37.7,95.5659595859265,20
American Airlines Inc.,4,17.5833333333333,52.7932115750292,24
Delta Air Lines Inc.,4,-12.1428571428571,27.3952067796057,28
JetBlue Airways,4,1.12,21.4424034722479,25
Virgin America,4,-5.5,37.599692048011,20
American Airlines Inc.,5,30.0454545454545,78.7319002769025,22
Delta Air Lines Inc.,5,22.4642857142857,78.6033088281286,28
JetBlue Airways,5,29.64,63.8389118537171,25
Virgin America,5,25.25,62.5063154703924,20
American Airlines Inc.,6,-3.64705882352941,22.5664052755157,17
Delta Air Lines Inc.,6,4.25,76.6033071522807,16
JetBlue Airways,6,1.0625,32.7138477304846,16
Virgin America,6,-15.5,29.9226274976586,12
American Airlines Inc.,7,-3.17391304347826,27.6169450188451,23
Delta Air Lines Inc.,7,-18.25,23.942412794762,24
JetBlue Airways,7,12.695652173913,63.3557307321192,24
Virgin America,7,-9.63157894736842,52.9141973453416,19
